,0
0,24.6
1,22.6
2,18.4
3,13.8
4,20.4
5,14.0
6,16.2
7,17.2
8,33.6
9,41.8
10,48.6
11,77.4
12,76.4
13,125.4
14,78.4
15,96.4
16,171.6
17,216.8
18,485.2
19,1022.8
20,530.6
21,691.2
22,442.4
23,468.0
24,677.4
25,518.2
26,488.4
27,438.4
28,404.6
29,364.4
30,289.4
31,299.2
32,229.6
33,239.4
34,178.8
35,9.4
36,362.0
37,383.4
38,210.6
39,400.6
